id,name,gender,date_of_birth,country,team
1307,Aarón Escandell,male,1995-09-27T00:00:00+00:00,ES,Granada CF
8715,Abdelkabir Abqar,male,1999-03-10T00:00:00+00:00,MA,Deportivo Alavés
13770,Abdessamad Ezzalzouli,male,2001-12-17T00:00:00+00:00,MA,FC Barcelona
200,Abdón Prats,male,1992-12-07T00:00:00+00:00,ES,RCD Mallorca
536,Adama Traoré,male,1996-01-25T00:00:00+00:00,ES,FC Barcelona
3314,Adnan Januzaj,male,1995-02-05T00:00:00+00:00,BE,Real Sociedad
9223,Adrià Pedrosa,male,1998-05-13T00:00:00+00:00,ES,RCD Espanyol de Barcelona
14400,Adrián Butzke,male,1999-03-30T00:00:00+00:00,ES,
9395,Adrián De la Fuente,male,1999-02-26T00:00:00+00:00,ES,Villarreal CF
1092,Adrián Embarba,male,1992-05-07T00:00:00+00:00,ES,RCD Espanyol de Barcelona
12758,Adrián Quintela,male,2001-03-11T00:00:00+00:00,ES,Rayo Vallecano
12600,Adrián Rodríguez,male,2000-12-12T00:00:00+00:00,ES,Deportivo Alavés
9539,Aihen Muñoz,male,1997-08-16T00:00:00+00:00,ES,Real Sociedad
77,Aitor Fernández,male,1991-05-03T00:00:00+00:00,ES,Levante UD
15047,Aitor Paredes,male,2000-04-29T00:00:00+00:00,ES,Athletic Club
7280,Aitor Ruibal,male,1996-03-22T00:00:00+00:00,ES,Real Betis
23369,Alan Godoy,male,2003-05-04T00:00:00+00:00,ES,Deportivo Alavés
25281,Alberto Flores,male,2003-11-10T00:00:00+00:00,ES,Sevilla FC
128,Alberto Moreno,male,1992-07-05T00:00:00+00:00,ES,Villarreal CF
22853,Alberto Moreno Rebanal,male,2002-04-19T00:00:00+00:00,ES,Atlético de Madrid
6160,Alberto Perea,male,1990-12-19T00:00:00+00:00,ES,Cádiz CF
8732,Alberto Soro,male,1999-03-09T00:00:00+00:00,ES,Granada CF
6154,Aleix Febas,male,1996-02-02T00:00:00+00:00,ES,Málaga CF
25330,Aleix Gorjón,male,2002-09-26T00:00:00+00:00,ES,RCD Espanyol de Barcelona
898,Aleix Vidal,male,1989-08-21T00:00:00+00:00,ES,RCD Espanyol de Barcelona
18852,Alejandro Pérez Cea,male,2001-01-07T00:00:00+00:00,ES,RCD Espanyol de Barcelona
25787,Alejandro Asensio,male,2000-09-14T00:00:00+00:00,ES,Rayo Vallecano
19064,Alejandro Cantero,male,2000-06-08T00:00:00+00:00,ES,Levante UD
8535,Alejandro Catena,male,1994-10-28T00:00:00+00:00,ES,Rayo Vallecano
4642,Alejandro Pozo,male,1999-02-22T00:00:00+00:00,ES,UD Almería
26557,Alejandro Primo,male,2004-07-10T00:00:00+00:00,ES,Levante UD
12109,Aleksander Sedlar,male,1991-12-13T00:00:00+00:00,RS,RCD Mallorca
23122,Alessandro Burlamaqui,male,2002-02-18T00:00:00+00:00,PE,Valencia CF
1593,Alejandro Berenguer Remiro,male,1995-07-04T00:00:00+00:00,ES,Athletic Club
19216,Alex Petxarroman,male,1997-02-06T00:00:00+00:00,ES,Athletic Club
25272,Alexandru Mircea Tirlea,male,2000-03-28T00:00:00+00:00,RO,Deportivo Alavés
6479,Alexander Isak,male,1999-09-21T00:00:00+00:00,SE,Real Sociedad
12902,Alexander Sørloth,male,1995-12-05T00:00:00+00:00,NO,Real Sociedad
